size,mean
1.4857,4.513
1.57568,4.559
1.44772,4.689
5.29343,20.64
1.60917,4.612
2.53881,2.229
3.37259,2.307
5.29309,2.2
1.83334,2.085
1.4189,3.062
1.4189,3.075
1.4189,3.07
1.62053,4.119
1.62441,4.41
1.50223,4.71
1.59987,4.685
1.46354,4.845
5.28747,21.121
1.63229,4.647
2.60085,2.249
3.44921,2.255
5.62635,2.224
1.87045,2.018
1.44399,3.098
1.44399,3.13
1.44399,3.115
1.64968,4.242
1.65177,4.491
1.5196,4.745
1.62341,4.791
1.49237,4.896
5.48507,21.936
1.65642,4.75
2.65294,2.294
3.52169,2.296
5.6948,2.245
1.90589,2.037
1.45314,3.129
1.45314,3.23
1.45314,3.138
1.67194,4.282
1.68054,4.568
1.54993,4.778
1.65813,4.834
1.52282,4.947
5.60479,22.102
1.69433,4.801
2.71507,2.286
3.62202,2.285
5.84301,2.276
1.94097,2.052
1.50065,3.206
1.50065,3.232
1.50065,3.193
1.70955,4.392
1.72045,4.681
1.59974,4.856
1.70334,4.899
1.54631,5.041
5.56727,22.877
1.74638,4.898
2.77811,2.321
3.69087,2.313
5.82463,2.27
1.97773,2.061
1.5491,3.241
1.5491,3.206
1.5491,3.294
1.73907,4.438
1.75025,4.695
1.60289,4.944
1.7185,5.007
1.57192,5.21
5.70817,23.534
1.75618,4.954
2.83763,2.332
3.78584,2.372
6.1096,2.282
2.01595,2.071
1.56496,3.249
1.56496,3.254
1.56496,3.24
1.77551,4.482
1.78075,4.822
1.62758,5.081
1.74334,5.032
1.59077,5.217
5.80986,23.661
1.7821,5.048
2.90155,2.343
3.78972,2.384
6.1437,2.345
2.05197,2.08
1.58999,3.278
1.58999,3.294
1.58999,3.267
1.79509,4.621
1.81589,4.889
1.64607,5.119
1.76998,5.121
1.62157,5.272
5.86058,23.983
1.81332,5.097
2.95454,2.372
3.936,2.377
6.27515,2.297
2.08924,2.09
1.6174,3.303
1.6174,3.314
1.6174,3.308
1.82491,4.626
1.85381,4.927
1.67327,5.188
1.80365,5.224
1.6474,5.354
5.94492,24.598
1.83947,5.221
3.02056,2.345
3.98426,2.411
6.49644,2.322
2.12846,2.088
1.64982,3.373
1.64982,3.372
1.64982,3.358
1.85554,4.677
1.87972,5.046
1.6811,5.223
1.8069,5.272
1.68202,5.45
5.947,25.075
1.8493,5.281
3.0833,2.374
4.05325,2.409
6.29483,2.345
2.16759,2.108
1.63484,3.356
1.63484,3.403
1.63484,3.386
1.89908,4.771
1.91403,5.114
1.70993,5.323
1.85151,5.325
1.70054,5.49
6.18996,26.196
1.88781,5.346
3.14881,2.601
4.18488,2.573
6.7624,2.542
2.20423,2.128
1.69488,3.682
1.69488,3.53
1.69488,3.59
1.88303,4.963
1.94975,5.39
1.74202,5.453
1.87685,5.442
1.72315,5.449
6.20134,26.399
1.92027,5.474
3.21917,2.452
4.1436,2.526
6.82018,2.504
2.23938,2.081
1.72448,3.694
1.72448,3.531
1.72448,3.591
1.94267,5.247
1.97838,5.145
1.76636,5.577
1.90571,5.441
1.74297,5.751
6.08869,26.754
1.94202,5.448
3.27322,2.577
4.35384,2.627
6.94925,2.547
2.26913,2.188
1.74137,3.609
1.74137,3.545
1.74137,3.562
1.97544,5.157
2.01639,5.592
1.78406,5.806
1.92606,5.926
1.76601,6.071
6.3273,28.013
1.96524,5.701
3.34607,2.503
4.44181,2.42
7.05353,2.588
2.31159,2.24
1.76753,3.71
1.76753,3.759
1.76753,3.782
2.01493,5.293
2.04644,5.517
1.83081,5.825
1.96125,5.549
1.79815,5.997
6.29084,28.469
2.00607,5.776
3.40811,2.517
4.24164,2.565
7.26671,2.588
2.34454,2.224
1.7908,3.672
1.7908,3.675
1.7908,3.688
2.02336,5.182
2.08409,5.408
1.80858,5.712
1.96233,5.72
1.81627,6.061
6.53714,28.749
1.99352,5.593
3.47818,2.517
4.40185,2.538
7.41291,2.584
2.38923,1.862
1.79203,3.816
1.79203,3.661
1.79203,3.834
2.05954,5.383
2.11362,5.439
1.82585,6.013
1.97454,5.845
1.83997,6.076
6.60586,29.224
2.01359,6.084
3.54457,2.638
4.68607,2.504
7.45175,2.714
2.42377,2.287
1.7984,3.762
1.7984,3.714
1.7984,3.795
2.08874,5.405
2.14705,5.777
1.81548,5.985
1.97912,6.003
1.86816,6.141
6.70821,29.412
2.01342,5.967
3.60384,2.542
4.74957,2.573
7.60153,2.595
2.4616,2.216
1.78537,3.757
1.78537,3.768
1.78537,3.769
2.14657,5.355
2.18397,5.565
1.8103,6.025
1.97116,6.062
1.88905,6.247
6.75192,29.746
2.00389,6.039
3.66283,2.559
4.69493,2.622
7.57342,2.608
2.50003,2.21
1.74927,3.796
1.74927,3.798
1.74927,3.788
1.82527,5.313
2.20817,5.674
1.58165,6.108
1.77866,6.055
1.86454,6.296
1.0964,28.287
1.80053,5.956
1.75035,1.742
0.76356,1.745
3.42798,2.371
2.31974,2.078
1.52761,3.636
1.52761,3.64
1.52761,3.66
2.17566,5.365
2.25226,5.825
1.84904,6.071
2.02197,6.059
1.93822,6.266
5.43451,30.495
2.05777,6.14
3.79576,2.512
4.83145,2.585
6.86393,2.609
2.56394,2.163
1.80567,3.81
1.80567,3.794
1.80567,3.8
2.20999,5.546
2.28683,5.926
1.9147,6.356
2.08064,6.193
1.96661,6.473
5.56797,31.041
2.12532,6.205
3.86751,2.516
5.05986,2.62
7.08537,2.654
2.61568,2.173
1.88525,3.867
1.88525,3.826
1.88525,3.877
2.25493,5.584
2.32256,5.987
1.9726,6.459
2.14335,6.331
1.98938,6.525
5.59344,31.972
2.18847,6.323
3.92405,2.533
5.15207,2.608
7.23201,2.675
2.66103,2.173
1.95758,3.869
1.95758,3.88
1.95758,3.905
2.28783,5.695
2.36559,6.096
2.00359,6.407
2.18375,6.457
2.02346,6.648
5.74681,33.068
2.22973,6.781
3.98888,2.59
5.00049,2.684
7.36522,2.825
2.70326,2.315
2.01114,4.18
2.01114,4.099
2.01114,4.023
2.31223,5.968
2.39699,6.425
2.06582,6.747
2.24274,6.814
2.05527,6.893
5.77471,35.131
2.29812,6.714
4.05586,2.755
4.95788,2.89
7.50618,2.95
2.74919,2.365
2.06126,3.99
2.06126,3.943
2.06126,4.153
0.32713,1.83
0.36346,1.841
0.32371,1.698
0.32643,1.803
0.36865,1.883
1.169,1.811
0.33698,1.733
0.44023,1.878
0.48048,1.844
0.93629,1.833
0.36317,1.85
0.26815,1.848
0.26815,1.872
0.26815,1.841
0.34249,1.845
0.37914,1.852
0.3404,1.864
0.34661,1.871
0.38431,1.848
1.44461,1.842
0.35261,1.843
0.46443,1.84
0.48681,1.869
0.96212,1.864
0.38486,1.856
0.286,1.845
0.286,1.864
0.286,1.846
0.35852,1.847
0.39767,1.846
0.35554,1.834
0.36089,1.848
0.40173,1.859
1.52779,1.867
0.36866,1.84
0.49197,1.855
0.57044,1.878
1.04707,1.859
0.40562,1.84
0.29603,1.848
0.29603,1.842
0.29603,1.845
0.38802,1.843
0.41574,1.854
0.37311,1.846
0.37833,1.83
0.41736,1.835
1.5384,1.857
0.3877,1.862
0.51638,1.869
0.60597,1.846
1.10942,1.846
0.42849,1.848
0.30376,1.842
0.30376,1.833
0.30376,1.841
0.39947,1.843
0.43375,1.851
0.38924,1.899
0.39496,1.836
0.43373,1.867
1.60171,1.861
0.40469,1.856
0.54525,1.841
0.62819,1.84
1.15089,1.827
0.44725,1.832
0.32445,1.841
0.32445,1.858
0.32445,1.855
0.42386,1.837
0.45187,1.847
0.41151,1.842
0.41404,1.86
0.45463,1.84
1.50545,1.848
0.42499,1.854
0.57119,1.855
0.61096,1.856
1.21969,1.859
0.47048,1.851
0.34271,1.835
0.34271,1.871
0.34271,1.854
0.45036,1.852
0.47073,1.842
0.42805,1.857
0.43229,1.839
0.47038,1.835
1.80896,1.826
0.44446,1.83
0.60025,1.833
0.71828,1.856
1.29088,1.85
0.48984,1.865
0.35749,1.836
0.35749,1.843
0.35749,1.847
0.45786,1.834
0.48739,1.846
0.44929,1.862
0.45327,1.844
0.4885,1.85
1.84327,1.851
0.46518,1.847
0.63201,1.826
0.76225,1.862
1.34636,1.84
0.51263,1.842
0.37218,1.848
0.37218,1.851
0.37218,1.851
0.47382,1.855
0.50796,1.835
0.4675,1.896
0.47267,1.702
0.50709,1.702
1.99765,1.684
0.48588,1.694
0.6578,1.677
0.79955,1.677
1.41575,1.679
0.5359,1.671
0.39071,1.685
0.39071,1.686
0.39071,1.705
0.50387,1.682
0.52736,1.678
0.48818,1.671
0.49498,1.67
0.52555,1.675
2.07909,1.674
0.50847,1.675
0.69005,1.664
0.84271,1.67
1.49351,1.682
0.56016,1.665
0.41127,1.684
0.41127,1.678
0.41127,1.683
0.52055,1.683
0.54547,1.671
0.50672,1.673
0.51498,1.684
0.5443,1.673
2.04688,1.676
0.52676,1.672
0.7234,1.678
0.87558,1.662
1.55443,1.682
0.58478,1.683
0.42406,1.681
0.42406,1.69
0.42406,1.675
0.547,1.695
0.56846,1.669
0.52635,1.686
0.53584,1.67
0.55985,1.678
2.24055,1.685
0.54716,1.693
0.75256,1.67
0.93441,1.697
1.62986,1.668
0.60826,1.683
0.44557,1.663
0.44557,1.686
0.44557,1.685
0.56237,1.671
0.58803,1.682
0.54933,1.673
0.55779,1.684
0.58559,1.686
2.28871,1.697
0.57527,1.719
0.78852,1.724
0.97732,1.748
1.71269,1.74
0.63689,1.736
0.46767,1.729
0.46767,1.732
0.46767,1.73
0.58936,1.733
0.60761,1.734
0.5707,1.732
0.57392,1.81
0.60327,1.723
2.38574,1.785
0.59532,1.727
0.81577,1.735
1.01525,1.734
1.7794,1.717
0.65644,1.729
0.48419,1.742
0.48419,1.743
0.48419,1.737
0.61604,1.744
0.62868,1.733
0.59212,1.728
0.59748,1.727
0.61971,1.726
2.46673,1.757
0.61789,1.731
0.85222,1.744
1.06936,1.75
1.85875,1.723
0.68177,1.744
0.50424,1.734
0.50424,1.734
0.50424,1.743
0.63942,1.736
0.65032,1.736
0.61377,1.749
0.62296,1.722
0.63723,1.743
2.49283,1.728
0.64118,1.739
0.8857,1.728
1.11191,1.738
1.93561,1.736
