,id,mean,size,label,weight
246,247,1926,121562,0,100
247,248,1925,207864,0,100
248,249,1848,75922,0,100
249,250,2189,54470,0,100
250,251,2183,54470,0,100
251,252,2193,54470,0,100
252,253,2580,69997,1,100
253,254,2653,71688,1,100
254,255,2756,66544,1,100
255,256,2769,67135,1,100
256,257,2830,70011,1,100
257,258,8335,270102,1,100
258,259,2743,69355,1,100
259,260,1950,99011,0,100
260,261,1926,126256,0,100
261,262,1932,217035,0,100
262,263,1850,78408,0,100
263,264,2200,55054,0,100
264,265,2196,55054,0,100
265,266,2210,55054,0,100
266,267,2621,71028,1,100
267,268,2690,73563,1,100
268,269,2819,67723,1,100
269,270,2785,68185,1,100
270,271,2885,71602,1,100
271,272,8507,272617,1,100
272,273,2761,70318,1,100
273,274,1938,103097,0,100
274,275,1940,131679,0,100
275,276,1948,227194,0,100
276,277,1864,81358,0,100
277,278,2223,55161,0,100
278,279,2253,55161,0,100
279,280,2227,55161,0,100
280,281,2616,74607,1,100
281,282,2735,75589,1,100
282,283,2806,65156,1,100
283,284,2829,65818,1,100
284,285,2913,74531,1,100
285,286,8637,159333,1,100
286,287,2819,66860,1,100
287,288,1975,106636,0,100
288,289,1956,137460,0,100
289,290,1930,221179,0,100
290,291,1871,84236,0,100
291,292,2262,48793,0,100
292,293,2232,48793,0,100
293,294,2220,48793,0,100
294,295,2674,75822,1,100
295,296,2778,78169,1,100
296,297,2887,72064,1,100
297,298,2892,72760,1,100
298,299,2958,75544,1,100
299,300,8959,291076,1,100
300,301,2858,75249,1,100
301,302,1969,110331,0,100
302,303,1949,142760,0,100
303,304,1940,240830,0,100
304,305,1866,86983,0,100
305,306,2262,58810,0,100
306,307,2244,58810,0,100
307,308,2257,58810,0,100
308,309,2686,78311,1,100
309,310,2814,80486,1,100
310,311,2906,75194,1,100
311,312,2907,76141,1,100
312,313,3009,78151,1,100
313,314,9658,300700,1,100
314,315,2915,78549,1,100
315,316,1964,114627,0,100
316,317,1964,147319,0,100
317,318,1970,250642,0,100
318,319,1871,89967,0,100
319,320,2289,62080,0,100
320,321,2285,62080,0,100
321,322,2296,62080,0,100
322,323,2740,81911,1,100
323,324,2853,82880,1,100
324,325,2939,78809,1,100
325,326,2973,79405,1,100
326,327,3053,80125,1,100
327,328,9988,312503,1,100
328,329,2978,81942,1,100
329,330,1989,117711,0,100
330,331,2156,153506,0,100
331,332,1965,259483,0,100
332,333,1880,92726,0,100
333,334,2295,65869,0,100
334,335,2320,65869,0,100
335,336,2312,65869,0,100
336,337,2769,83149,1,100
337,338,2895,84984,1,100
338,339,3019,81028,1,100
339,340,3052,82090,1,100
340,341,3117,82414,1,100
341,342,10265,318740,1,100
342,343,3005,84747,1,100
343,344,1982,122226,0,100
344,345,1993,154231,0,100
345,346,1973,268304,0,100
346,347,1907,95366,0,100
347,348,2359,68491,0,100
348,349,2318,68491,0,100
349,350,2329,68491,1,100
350,351,2798,87208,1,100
351,352,2944,87558,1,100
352,353,3048,84580,1,100
353,354,3054,85676,1,100
354,355,3143,84309,1,100
355,356,10566,323876,1,100
356,357,3044,88468,1,100
357,358,2000,125970,0,100
358,359,1970,164143,0,100
359,360,1966,275789,0,100
360,361,1889,98532,0,100
361,362,2326,71827,0,100
362,363,2343,71827,1,100
363,364,2345,71827,0,100
364,365,2889,88401,1,100
365,366,2961,89951,1,100
366,367,3253,86986,1,100
367,368,3408,88116,1,100
368,369,3393,86768,1,100
369,370,11155,337784,1,100
370,371,3277,91290,1,100
371,372,2127,130175,0,100
372,373,2106,170296,0,100
